調價日期,無鉛汽油92,無鉛汽油95,無鉛汽油98,超級/高級柴油,二行程無鉛,煤油,甲種漁船油(KL),乙種漁船油(KL),低硫燃料油(0.5%)(KL),甲種低硫燃料油/低硫鍋爐油(0.5%)(KL),特種低硫燃料油(KL),低硫鍋爐油(1%)(KL)
2023/4/24,29.6,31.1,33.1,27.4,,,20193.0,16278.0,,,,
2023/4/17,29.8,31.3,33.3,27.6,,,20393.0,16478.0,,,,
2023/4/10,29.5,31.0,33.0,27.8,,,20593.0,16678.0,,,,
2023/4/3,28.9,30.4,32.4,27.7,,,20493.0,16578.0,,,,
2023/3/27,28.4,29.9,31.9,27.1,,,19893.0,15978.0,,,,
2023/3/20,28.9,30.4,32.4,27.6,,,20393.0,16478.0,,,,
2023/3/13,29.2,30.7,32.7,27.1,,,19893.0,15978.0,,,,
2023/3/6,28.9,30.4,32.4,27.1,,,19893.0,15978.0,22492.0,,24640.0,
2023/2/27,29.0,30.5,32.5,27.3,,,20093.0,16178.0,,,,
2023/2/20,29.1,30.6,32.6,27.4,,,20193.0,16278.0,,,,
2023/2/13,29.2,30.7,32.7,27.5,,,20293.0,16378.0,,,,
2023/2/6,29.5,31.0,33.0,27.9,,,20693.0,16778.0,23790.0,,25567.0,
2023/1/30,29.6,31.1,33.1,28.2,,,20993.0,17078.0,,,,
2023/1/23,29.1,30.6,32.6,27.8,,,20593.0,16678.0,,,,
2023/1/16,29.1,30.6,32.6,27.8,,,20593.0,16678.0,,,,
2023/1/9,29.1,30.6,32.6,27.8,,,20593.0,16678.0,,,,
2023/1/2,29.5,31.0,33.0,27.8,,,20593.0,16678.0,,,,
2022/12/26,29.1,30.6,32.6,27.9,,,20693.0,16778.0,,,,
2022/12/19,29.0,30.5,32.5,27.3,,,20093.0,16178.0,,,,
2022/12/12,28.9,30.4,32.4,27.3,,,20093.0,16178.0,,,,
2022/12/5,29.3,30.8,32.8,27.1,,,19893.0,15978.0,,,,
2022/11/28,29.1,30.6,32.6,26.9,,,19693.0,15778.0,,,,
2022/11/21,29.2,30.7,32.7,27.0,,,19793.0,15878.0,,,,
2022/11/14,29.0,30.5,32.5,26.8,,,19593.0,15678.0,,,,
2022/11/7,29.1,30.6,32.6,26.8,,,19593.0,15678.0,,,,
2022/10/31,29.1,30.6,32.6,26.9,,,19693.0,15778.0,,,,
2022/10/24,28.8,30.3,32.3,26.6,,,19393.0,15478.0,,,,
2022/10/17,28.9,30.4,32.4,26.7,,,19493.0,15578.0,,,,
2022/10/10,29.2,30.7,32.7,26.9,,,19693.0,15778.0,,,,
2022/10/3,29.3,30.8,32.8,27.1,,,19893.0,15978.0,,,,
2022/9/26,29.2,30.7,32.7,26.9,,,19693.0,15778.0,,,,
2022/9/19,29.2,30.7,32.7,26.9,,,19693.0,15778.0,,,,
2022/9/12,29.0,30.5,32.5,26.8,,,19593.0,15678.0,,,,
2022/9/5,29.1,30.6,32.6,26.8,,,19593.0,15678.0,,,,
2022/8/29,29.2,30.7,32.7,27.0,,,19793.0,15878.0,,,,
2022/8/22,29.5,31.0,33.0,27.4,,,20193.0,16278.0,,,,
2022/8/15,29.6,31.1,33.1,27.4,,,20193.0,16278.0,,,,
2022/8/8,29.8,31.3,33.3,27.6,,,20393.0,16478.0,,,,
2022/8/1,29.5,31.0,33.0,27.3,,,20093.0,16178.0,,,,
2022/7/25,29.3,30.8,32.8,27.1,,,19893.0,15978.0,,,,
2022/7/18,29.5,31.0,33.0,27.2,,,19993.0,16078.0,,,,
2022/7/11,29.8,31.3,33.3,27.6,,,20393.0,16478.0,,,,
2022/7/4,30.0,31.5,33.5,27.8,,,20593.0,16678.0,,,,
2022/6/27,30.0,31.5,33.5,27.7,,,20493.0,16578.0,,,,
2022/6/20,29.6,31.1,33.1,27.4,,,20193.0,16278.0,,,,
2022/6/13,29.5,31.0,33.0,27.3,,,20093.0,16178.0,,,,
2022/6/6,29.5,31.0,33.0,27.3,,,20093.0,16178.0,21597.0,,25597.0,
2022/5/30,30.1,31.6,33.6,27.9,,,20693.0,16778.0,,,,
2022/5/23,30.2,31.7,33.7,28.0,,,20793.0,16878.0,,,,
2022/5/16,30.2,31.7,33.7,28.0,,,20793.0,16878.0,,,,
2022/5/9,30.3,31.8,33.8,28.1,,,20893.0,16978.0,,,,
2022/5/2,30.4,31.9,33.9,28.2,,,20993.0,17078.0,,,,
2022/4/25,30.5,32.0,34.0,28.3,,,21093.0,17178.0,,,,
2022/4/18,30.8,32.3,34.3,28.6,,,21393.0,17478.0,,,,
2022/4/11,31.0,32.5,34.5,28.9,,,21693.0,17778.0,,,,
2022/4/4,31.0,32.5,34.5,28.8,,,21593.0,17678.0,,,,
2022/3/28,31.2,32.7,34.7,29.1,,,21893.0,17978.0,,,,
2022/3/21,31.5,33.0,35.0,29.4,,,22193.0,18278.0,,,,
2022/3/14,31.6,33.1,35.1,29.4,,,22193.0,18278.0,,,,
2022/3/7,31.3,32.8,34.8,29.1,,,21893.0,17978.0,,,,
2022/2/28,30.7,32.2,34.2,28.5,,,21293.0,17378.0,,,,
2022/2/21,30.2,31.7,33.7,28.1,,,20893.0,16978.0,,,,
2022/2/14,29.9,31.4,33.4,27.5,,,20293.0,16378.0,,,,
2022/2/7,28.7,30.2,32.2,26.0,,,18793.0,14878.0,,,,
2022/1/31,29.8,31.3,33.3,26.5,,,19293.0,15378.0,,,,
2022/1/24,29.8,31.3,33.3,26.5,,,19293.0,15378.0,,,,
2022/1/17,29.2,30.7,32.7,26.3,,,19093.0,15178.0,,,,
2022/1/10,28.6,30.1,32.1,26.3,,,19093.0,15178.0,,,,
2022/1/3,28.4,29.9,31.9,26.4,,,19193.0,15278.0,,,,
2021/12/27,27.5,29.0,31.0,25.5,,,18293.0,14378.0,,,,
2021/12/20,27.7,29.2,31.2,25.7,,,18493.0,14578.0,,,,
2021/12/13,27.6,29.1,31.1,25.6,,,18393.0,14478.0,,,,
2021/12/6,27.3,28.8,30.8,25.3,,,18093.0,14178.0,19127.0,,23127.0,
2021/12/1,28.5,30.0,32.0,26.6,,,19393.0,15478.0,,,,
2021/11/29,29.6,31.1,33.1,27.7,,,20493.0,16578.0,,,,
2021/11/22,29.8,31.3,33.3,28.0,,,20793.0,16878.0,,,,
2021/11/15,30.1,31.6,33.6,28.2,,,20993.0,17078.0,,,,
2021/11/8,30.0,31.5,33.5,28.1,,,20893.0,16978.0,,,,
2021/11/1,30.2,31.7,33.7,28.0,,,20793.0,16878.0,,,,
2021/10/25,30.1,31.6,33.6,27.3,,,20093.0,16178.0,,,,
2021/10/18,29.5,31.0,33.0,26.6,,,19393.0,15478.0,,,,
2021/10/11,28.7,30.2,32.2,25.7,,,18493.0,14578.0,,,,
2021/10/4,28.3,29.8,31.8,25.4,,,18193.0,14278.0,,,,
2021/9/20,28.2,29.7,31.7,25.3,,,18093.0,14178.0,,,,
2021/9/13,28.1,29.6,31.6,25.4,,,18193.0,14278.0,,,,
2021/9/6,28.2,29.7,31.7,25.5,,,18293.0,14378.0,17736.0,,21736.0,
2021/8/30,28.0,29.5,31.5,25.6,,,18393.0,14478.0,,,,
2021/8/23,27.6,29.1,31.1,25.5,,,18293.0,14378.0,,,,
2021/8/16,28.0,29.5,31.5,25.8,,,18593.0,14678.0,,,,
2021/8/9,28.3,29.8,31.8,26.0,,,18793.0,14878.0,,,,
2021/7/26,28.4,29.9,31.9,25.8,,,18593.0,14678.0,,,,
2021/7/19,28.6,30.1,32.1,25.7,,,18493.0,14578.0,,,,
2021/7/12,28.5,30.0,32.0,25.6,,,18393.0,14478.0,,,,
2021/7/5,28.2,29.7,31.7,25.4,,,18193.0,14278.0,,,,
2021/6/28,27.9,29.4,31.4,25.1,,,17893.0,13978.0,,,,
2021/6/21,27.6,29.1,31.1,24.8,,,17593.0,13678.0,,,,
2021/6/14,27.5,29.0,31.0,24.7,,,17493.0,13578.0,,,,
2021/6/7,27.2,28.7,30.7,24.4,,,17193.0,13278.0,,,,
2021/5/31,27.0,28.5,30.5,24.2,,,16993.0,13078.0,,,,
2021/5/17,26.7,28.2,30.2,23.9,,,16693.0,12778.0,,,,
2021/5/10,26.6,28.1,30.1,23.8,,,16593.0,12678.0,,,,
2021/4/26,26.8,28.3,30.3,24.0,,,16793.0,12878.0,,,,
2021/4/12,26.5,28.0,30.0,24.2,,,16993.0,13078.0,,,,
2021/3/29,26.8,28.3,30.3,24.0,,,16793.0,12878.0,,,,
2021/3/22,26.5,28.0,30.0,23.8,,,16593.0,12678.0,,,,
2021/3/15,26.0,27.5,29.5,23.2,,,15993.0,12078.0,,,,
2021/3/8,25.7,27.2,29.2,23.0,,,15793.0,11878.0,,,,
2021/3/1,25.6,27.1,29.1,22.9,,,15693.0,11778.0,,,,
2021/2/22,25.5,27.0,29.0,22.8,,,15593.0,11678.0,,,,
2021/2/1,25.0,26.5,28.5,22.3,,,15093.0,11178.0,,,,
2021/1/18,25.0,26.5,28.5,22.4,,,15193.0,11278.0,,,,
2021/1/11,24.7,26.2,28.2,22.3,,,15093.0,11178.0,,,,
2021/1/4,24.2,25.7,27.7,21.8,,,14593.0,10678.0,,,,
2020/12/28,24.0,25.5,27.5,21.3,,,14093.0,10178.0,,,,
2020/12/21,23.3,24.8,26.8,20.7,,,13493.0,9578.0,,,,
2020/12/14,22.8,24.3,26.3,20.2,,,12993.0,9078.0,,,,
2020/12/7,22.4,23.9,25.9,19.7,,,12493.0,8578.0,,,,
2020/11/30,22.1,23.6,25.6,19.4,,,12193.0,8278.0,,,,
2020/11/16,21.9,23.4,25.4,19.2,,,11993.0,8078.0,,,,
2020/11/9,21.6,23.1,25.1,19.0,,,11793.0,7878.0,,,,
2020/11/2,21.5,23.0,25.0,18.9,,,11693.0,7778.0,,,,
2020/10/5,22.0,23.5,25.5,19.3,,,12093.0,8178.0,,,,
2020/9/21,22.2,23.7,25.7,19.6,,,12393.0,8478.0,,,,
2020/9/14,22.0,23.5,25.5,19.5,,,12293.0,8378.0,,,,
2020/8/3,22.4,23.9,25.9,19.7,,,12493.0,8578.0,,,,
2020/7/6,22.2,23.7,25.7,19.6,,,12393.0,8478.0,12861.0,0.0,14324.0,
2020/6/29,22.0,23.5,25.5,19.4,,,12193.0,8278.0,,,,
2020/6/22,21.7,23.2,25.2,19.1,,,11893.0,7978.0,,,,
2020/6/15,21.4,22.9,24.9,18.8,,,11593.0,7678.0,,,,
2020/6/8,20.6,22.1,24.1,18.0,,,10793.0,6878.0,,,,
2020/6/1,19.9,21.4,23.4,17.4,,,10193.0,6278.0,,,,
2020/5/25,19.6,21.1,23.1,17.1,,,9893.0,5978.0,,,,
2020/5/18,19.1,20.6,22.6,16.3,,,9093.0,5178.0,,,,
2020/5/11,18.2,19.7,21.7,15.4,,,8193.0,4278.0,,,,
2020/5/4,16.2,17.7,19.7,13.2,,,5993.0,2078.0,,,,
2020/4/27,16.1,17.6,19.6,13.0,,,5793.0,,,,,
2020/4/20,17.0,18.5,20.5,14.0,,,6793.0,1878.0,,,,
2020/4/13,17.9,19.4,21.4,15.0,,,7793.0,2878.0,,,,
2020/4/6,17.3,18.8,20.8,14.4,,,7193.0,2278.0,18118.0,18118.0,18620.0,
2020/3/30,18.2,19.7,21.7,15.4,,,8193.0,3278.0,,,,
2020/3/23,19.0,20.5,22.5,16.2,,,8993.0,4078.0,,,,
2020/3/16,20.3,21.8,23.8,17.7,,,10493.0,5578.0,,,,
2020/3/9,24.1,25.6,27.6,21.7,,,14493.0,9578.0,,,,
2020/3/2,24.7,26.2,28.2,22.4,,,15193.0,10278.0,,,,
2020/2/24,25.5,27.0,29.0,23.3,,,16093.0,11178.0,,,,
2020/2/10,24.9,26.4,28.4,22.7,,,15493.0,10578.0,,,,
2020/2/3,25.9,27.4,29.4,23.7,,,16493.0,11578.0,,,,
2020/1/27,26.8,28.3,30.3,24.7,,,17493.0,12578.0,,,,
2020/1/20,27.1,28.6,30.6,25.0,,,17793.0,12878.0,,,,
2020/1/13,27.8,29.3,31.3,25.7,,,18493.0,13578.0,,,,
